## Sheet: Forecast
 |  | Power Grid Bangladesh PLC
 |  | National Load Dispatch Center (NLDC)
 |  | Forecasted Generation & Demand of National Grid
 | Date : | 28-06-2026
Sl. | Name of the
 Power Station | Fuel | Producer | Installed Capacity |  | Present Capacity | Actual Generation on |  | Forecasted Available Gen. on |  | Effective Available Gen. on |  | Remarks
 |  |  |  |  |  |  | 27-06-2026 | during | 28-06-2026 | during | 28-06-2026 | during
 |  |  |  |  |  |  | Day Peak | Ev. Peak | Day Peak | Ev. Peak | Day Peak | Ev. Peak
 |  |  |  | Unit No. X Capacity | MW | MW | MW | MW | MW | MW | MW | MW
1 | Ghorasal Repowered CCPP Unit-3 | Gas | PDB | 1*260 | 260 | 260 | 0 | 0 | 0 | 0 | 0 | 0 | GT is under maintenance
2 | Ghorasal Repowered CCPP Unit-4 | Gas | PDB | 1*210 | 210 | 240 | 0 | 0 | 230 | 230 | 0 | 0 | Gas shortage
 | Ghorasal TPP Unit-5 | Gas | PDB | 1*210 | 210 | 190 | 0 | 0 | 190 | 190 | 0 | 0 | Gas shortage
3 | Ghorasal 365 MW CCPP Unit-7 | Gas | PDB | 1*243+1*122 | 365 | 365 | 0 | 0 | 260 | 260 | 0 | 0 | Gas shortage
4 | Ghorashal 108 MW PP (Regent) | Gas | IPP | 34*3.35 | 108 | 97.7 | 0 | 0 | 97.7 | 97.7 | 0 | 0 | Gas (RMS) problem
5 | Haripur GTPP | Gas | SBU,PDB | 32*2 | 32 | 20 | 0 | 0 | 0 | 0 | 0 | 0 | -
6 | Haripur 412 MW CCPP | Gas | EGCB | 1*273+1*139 | 412 | 412 | 378 | 375 | 412 | 412 | 380 | 380 | AGC
 | Haripur 360 MW CCPP (HPL) | Gas | IPP | 1*235+1*125 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Contract Expired
7 | Meghnaghat 450 MW CCPP (MPL) | Gas | IPP | 2*150+1*150 | 450 | 450 | 0 | 0 | 225 | 225 | 0 | 0 | Gas shortage
8 | Meghnaghat CCPP(Summit) | Gas | IPP | 2*110+1*110 | 335 | 335 | 0 | 0 | 335 | 335 | 0 | 0 | Gas shortage
9 | Madanganj-55 MW PP(Summit) | HFO | IPP | 3*17+1*11.3 | 55 | 55 | 55 | 55 | 55 | 55 | 15 | 15 | Liquid fuel shortage
12 | Siddhirgonj 210 MW TPP | Gas | PDB | 1*210 | 210 | 115 | 0 | 0 | 0 | 0 | 0 | 0 | Under Major Overhauling
13 | Siddhirgonj 2*120 MW GTPP | Gas | EGCB | 2*105 | 210 | 210 | 0 | 0 | 210 | 210 | 0 | 0 | Gas shortage
14 | Siddhirganj 335 MW CCPP | Gas | EGCB | 1*217+118 | 335 | 335 | 300 | 296 | 335 | 335 | 315 | 315 | Gas shortage
15 | Gagnagar 102 MW PP (Digital Power) | HFO | IPP | 12*8.924 | 102 | 102 | 0 | 0 | 102 | 102 | 0 | 0 | Liquid fuel shortage
17 | Kamalaghat 54 MW PP(Banco Energy) | HFO | IPP | 3*18 | 54 | 53.97 | 0 | 35 | 53.97 | 53.97 | 18 | 35 | Liquid fuel shortage
